"c_id" "s_id" "t" "cov" "y"
7 26 2 0.388742708434691 3
7 26 3 -0.042871263864955 3
7 27 0 -1.647404495289 1
7 27 1 0.221000340440749 3
7 27 2 0.520286376005934 3
7 27 3 -0.319152181004275 3
7 28 0 -0.229471470383942 1
7 28 1 0.717931477503886 2
7 28 2 -1.09566516467515 1
7 28 3 -0.171964093228705 1
8 29 0 -1.1985719873216 3
8 29 1 -0.538419908329118 3
8 29 2 -1.39707325452054 3
8 29 3 -1.62178311740657 3
8 30 0 -0.296602553661485 3
8 30 1 -1.22854161860249 3
8 30 2 -0.117973432500223 3
8 30 3 1.59087860430857 3
8 31 0 -0.447686662402635 3
8 31 1 0.287348119562922 3
8 31 2 -0.0333242855980111 3
8 31 3 0.107911411292323 3
8 32 0 -1.65420146618844 3
8 32 1 -0.793432526050866 2
8 32 2 -0.339850192107464 1
8 32 3 -0.591672250097809 3
9 33 0 -0.611447548978046 2
9 33 1 -1.14786456934532 2
9 33 2 1.12290345240509 3
9 33 3 -0.0347931867879321 3
9 34 0 -1.23089728658616 1
9 34 1 -0.852762937991727 1
9 34 2 0.0592579487462695 1
9 34 3 -0.230517974205229 1
9 35 0 1.52730444603533 1
9 35 1 -0.452357530241902 2
9 35 2 -0.141635372279689 1
9 35 3 2.25077761789542 1
9 36 0 0.374376575263593 2
9 36 1 0.29009930648839 2
9 36 2 -1.02830388374185 3
9 36 3 1.24933480316309 3
10 37 0 0.0345253632218863 3
10 37 1 0.69641253148112 3
10 37 2 -0.468293928021519 3
10 37 3 -0.426178621152947 3
10 38 0 -1.13591423788504 1
10 38 1 1.51943670165375 1
10 38 2 -0.981229219742578 2
10 38 3 0.143774322686285 2
10 39 0 -1.66985355648285 3
10 39 1 -1.55186827439837 3
10 39 2 -1.8196554682883 3
10 39 3 1.30844087404596 3
10 40 0 -1.19120303071297 3
10 40 1 0.565352229511956 3
10 40 2 -0.142761918039382 3
10 40 3 -0.022775426088648 3
11 41 0 -0.242111067538247 1
11 41 1 1.35840815714626 2
11 41 2 -0.168492713026208 3
11 41 3 -1.61329519915513 3
11 42 0 0.88180055081562 1
11 42 1 -0.558764509266369 1
11 42 2 0.130468490265491 2
11 42 3 -0.379957905042555 1
11 43 0 -2.54434981088921 1
11 43 1 -0.600798527639071 1
11 43 2 -1.62624660301985 2
11 43 3 -0.833117507766528 3
11 44 0 -1.12907121409453 1
11 44 1 -0.402836804747453 1
11 44 2 1.36512304544527 1
11 44 3 0.722699527104775 3
12 45 0 1.38328302312968 3
12 45 1 1.45169700152606 3
12 45 2 -1.03247748323987 3
12 45 3 -1.33065504341968 3
12 46 0 0.042014638434828 3
12 46 1 -0.393551581634147 3
12 46 2 1.12572129054661 3
12 46 3 0.340790847250247 3
12 47 0 0.50928628036428 3
12 47 1 -0.409105645466389 3
12 47 2 0.435834078642228 3
12 47 3 0.730062099438022 3
12 48 0 0.113636748557729 1
12 48 1 1.3534970140207 3
12 48 2 0.430191654284461 3
12 48 3 1.43302665255194 3
13 49 0 -1.77980194681615 1
13 49 1 0.500677865445056 2
13 49 2 -0.423001111526495 2
13 49 3 1.11502080636898 1
13 50 0 0.327035986647079 1
13 50 1 -0.313815961241356 1
13 50 2 2.17036338458016 1
13 50 3 0.595945908881254 1
13 51 0 0.729235754602526 3
13 51 1 -0.170002276334737 2
13 51 2 0.632545226448287 3
13 51 3 1.00351531035311 3
13 52 0 -1.90884826966415 1
13 52 1 0.251513733124104 3
13 52 2 -1.60022298957601 2
13 52 3 -0.815911226526953 2
14 53 0 0.718189626079854 1
14 53 1 -0.598921149465507 1
14 53 2 0.098522746604203 1
14 53 3 -0.266781510511215 1
14 54 0 -0.270926184572835 3
14 54 1 -2.42979486453792 2
14 54 2 0.750039668784898 3
14 54 3 1.32260608753689 3
14 55 0 -0.489346958049541 1
14 55 1 -0.321548481675282 2
14 55 2 0.244102547126725 1
14 55 3 1.34788710505938 3
14 56 0 -1.89095754266339 1
14 56 1 -1.09151712337111 1
14 56 2 0.726467295239957 2
14 56 3 -0.97101185513602 1
15 57 0 0.595059358164732 1
15 57 1 0.294422924821205 1
15 57 2 0.686609025919079 1
15 57 3 0.213092988861619 1
15 58 0 0.291551129857804 1
15 58 1 0.476439450633234 1
15 58 2 -0.778098184915958 1
15 58 3 -1.06304987367292 1
15 59 0 0.10711905991676 1
15 59 1 0.697197161227574 1
15 59 2 1.32156461817372 1
15 59 3 1.79167772041584 1
15 60 0 0.0582507557993461 1
15 60 1 0.0180432436458106 2
15 60 2 -1.02152597498914 2
15 60 3 0.0926929153589548 2
16 61 0 0.264980546893003 3
16 61 1 1.3064422973037 2
16 61 2 -1.48823121084107 3
16 61 3 -0.230278051676611 2
16 62 0 -0.140310557259647 2
16 62 1 -1.42577867852158 1
16 62 2 -0.57475154473491 2
16 62 3 1.0258023448831 3
16 63 0 -0.992405870143797 1
16 63 1 -0.700372165107018 2
16 63 2 0.829816835760217 3
16 63 3 0.843571005071157 3
16 64 0 0.183771735288973 3
16 64 1 -0.217228084504776 3
16 64 2 1.58517529562971 3
16 64 3 -0.392721662426313 3
17 65 0 -0.76000413652938 3
17 65 1 -0.829275984790241 3
17 65 2 0.232005832488951 3
17 65 3 1.26794947187646 3
17 66 0 -0.274830144065092 3
17 66 1 -0.0277040860799448 3
17 66 2 -1.01267384591678 3
17 66 3 0.543724137105116 3
17 67 0 0.41485930749836 2
17 67 1 -0.411246958442031 3
17 67 2 -1.87438332848529 3
17 67 3 1.18655022778263 3
17 68 0 0.226076335018375 1
17 68 1 0.544605642818982 1
17 68 2 -1.75718319537875 1
17 68 3 -1.91898831462043 1
18 69 0 -1.78581165225659 1
18 69 1 1.32987610803998 2
18 69 2 -0.025163622593432 1
18 69 3 -0.7517809424795 3
18 70 0 -0.101511416373984 3
18 70 1 0.430843077859948 3
18 70 2 -0.0219784403107793 3
18 70 3 0.641953257476279 3
18 71 0 0.940441690725678 1
18 71 1 0.512384453722626 3
18 71 2 0.674949178587048 1
18 71 3 -0.27245957770572 3
18 72 0 -0.236735109041423 2
18 72 1 -0.364531327598082 3
18 72 2 -0.509900954754527 3
18 72 3 0.939281626389561 3
19 73 0 -0.837876763568652 1
19 73 1 -0.444447549538123 2
19 73 2 1.04260600539546 1
19 73 3 -0.302745647074932 1
19 74 0 -0.643365400817223 1
19 74 1 1.1219203338913 3
19 74 2 -0.195703772206353 2
19 74 3 -0.957068585665994 1
19 75 0 0.865073623992937 2
19 75 1 -0.691464171032106 1
19 75 2 -0.38394422433213 3
19 75 3 0.147192354454996 2
19 76 0 0.554573519634471 1
19 76 1 -0.0723870603345202 1
19 76 2 -0.725352128589 1
19 76 3 -0.211175845781988 1
20 77 0 0.968503690774809 3
20 77 1 0.0303730697210792 3
20 77 2 -1.29257483786642 3
20 77 3 0.545782403997575 3
20 78 0 -0.733203411729751 1
20 78 1 0.325513875179851 1
20 78 2 0.602973589780091 1
20 78 3 0.499629641738416 1
20 79 0 1.35284554939437 2
20 79 1 -1.76729951778756 1
20 79 2 0.638710297496882 3
20 79 3 -1.20024424394007 2
20 80 0 -0.870672379457942 3
20 80 1 -0.891524715907767 3
20 80 2 2.21873629568788 3
20 80 3 -0.153598577521385 3
21 81 0 -0.166507459841437 2
21 81 1 -1.75414129991976 2
21 81 2 -0.115787527166364 3
21 81 3 -0.50348485135226 3
21 82 0 -0.254130942795303 3
21 82 1 0.266710855267273 2
21 82 2 0.642814606285392 3
21 82 3 0.490679184591834 3
21 83 0 -0.631445986834166 3
21 83 1 -1.23583395093915 3
21 83 2 0.823446045524588 3
21 83 3 0.516075921007719 3
21 84 0 -0.0341604790137399 2
21 84 1 0.486662458495336 3
21 84 2 -0.583571507195329 3
21 84 3 0.208638059632806 3
22 85 0 -0.509142853259152 1
22 85 1 -0.40663589439075 1
22 85 2 0.187883322910637 2
22 85 3 -1.09603390760174 2
22 86 0 -1.71193908378018 1
22 86 1 1.83608614109729 2
22 86 2 1.04790819791325 3
22 86 3 -0.44951851126683 3
22 87 0 0.330718277173618 1
22 87 1 -0.629667135141254 1
22 87 2 1.40683005426981 1
22 87 3 0.642318081257296 1
22 88 0 1.43824297807167 3
22 88 1 0.391811614847041 2
22 88 2 0.945857728896024 3
22 88 3 -0.303967887972487 3
23 89 0 -0.473189063106726 3
23 89 1 -0.410882293394639 2
23 89 2 -0.858396667869798 3
23 89 3 -0.104774733579831 3
23 90 0 -0.998640117664172 2
23 90 1 2.38609617517751 2
23 90 2 -1.43648417915907 1
23 90 3 0.0514193634194426 1
23 91 0 0.0675251105740155 3
23 91 1 1.29742773783093 3
23 91 2 0.263737102335926 3
23 91 3 0.74779050649295 3
23 92 0 0.838247228390174 3
23 92 1 0.0875538136870452 3
23 92 2 -1.17271034869783 3
23 92 3 -1.7769356795207 2
24 93 0 -0.210819431659417 3
24 93 1 -1.30466272263305 3
24 93 2 0.0981293716334145 3
24 93 3 -0.263871392248255 3
24 94 0 0.280205677983328 3
24 94 1 -1.17390200950863 3
24 94 2 -0.865438674011692 3
24 94 3 -1.18485919250924 3
24 95 0 0.33821879831361 2
24 95 1 -0.269693892878553 3
24 95 2 -1.08474687733312 2
24 95 3 0.102065532266722 3
24 96 0 -0.294841373527731 2
24 96 1 0.516347961226344 3
24 96 2 0.296513988477947 3
24 96 3 -0.0570279634033678 3
25 97 0 -0.607264422186766 3
25 97 1 1.1837930299264 3
25 97 2 -0.263203661455406 3
25 97 3 -1.180974798542 3
25 98 0 -0.300156859666454 3
25 98 1 -0.0981240815509661 3
25 98 2 0.369831599124511 3
25 98 3 -0.272096917802876 3
25 99 0 0.833283077655912 3
25 99 1 0.520731565537565 3
25 99 2 -1.50219584396399 3
25 99 3 -0.00466780645248245 3
25 100 0 1.07340778973139 3
25 100 1 0.743136532334947 3
25 100 2 -1.12988262941048 3
25 100 3 1.17188710507958 3
26 101 0 -1.89930048992483 1
26 101 1 0.172456933884615 1
26 101 2 -0.566389521949002 1
26 101 3 1.08984605272276 2
26 102 0 -0.903904759095067 3
26 102 1 0.171246591032067 3
26 102 2 -0.667541053377068 3
26 102 3 0.185476464555696 3
26 103 0 0.261112253724208 1
26 103 1 -0.849096704048527 2
26 103 2 1.24939501261283 2
26 103 3 -0.352179587163458 3
26 104 0 0.761272776984727 1
26 104 1 -0.100175745538139 1
26 104 2 1.90317317920511 1
26 104 3 0.489215236614026 3
27 105 0 1.19405621110285 2
27 105 1 1.77998691970973 3
27 105 2 -0.239179322958703 3
27 105 3 -0.797444235698419 3
27 106 0 -0.412369213826797 1
27 106 1 -0.410048218312062 1
27 106 2 -1.44596280286576 2
27 106 3 -0.364117495312217 1
27 107 0 -0.81751666382774 1
27 107 1 -0.838219129737969 1
27 107 2 0.912646638112827 1
27 107 3 -1.51976445737779 2
27 108 0 0.241961726643864 3
27 108 1 0.973962981629982 3
27 108 2 -2.0039319630316 3
27 108 3 0.528552830781337 3
28 109 0 -0.469535239385248 1
28 109 1 -0.680064525499907 3
28 109 2 0.0911481834794711 3
28 109 3 -0.17891034411928 1
28 110 0 -2.23349839606144 1
28 110 1 0.860199027480828 3
28 110 2 1.26211681181794 2
28 110 3 0.297151523651013 2
28 111 0 -0.440408426187443 2
28 111 1 2.09513929852504 3
28 111 2 0.174881865095964 3
28 111 3 -1.03263680375646 3
28 112 0 1.13997836901642 1
28 112 1 1.18077366537492 1
28 112 2 -0.508832980425523 1
28 112 3 -0.902732031295105 3
29 113 0 -1.3136981785415 1
29 113 1 -0.50567566145744 2
29 113 2 -1.4575548382766 2
29 113 3 -0.966450120040624 3
29 114 0 -1.34648707668876 1
29 114 1 -1.18182167358033 1
29 114 2 0.991029780969578 1
29 114 3 0.759738871358098 1
29 115 0 0.136717978017762 1
29 115 1 -0.673685567384384 1
29 115 2 -0.548175877624938 1
29 115 3 0.624129941388847 3
29 116 0 0.309935423897331 2
29 116 1 -1.41477550931289 2
29 116 2 -1.00535459073856 3
29 116 3 0.659039187124573 3
30 117 0 -1.26175472640257 1
30 117 1 -0.876704502505951 2
30 117 2 1.27180206405417 3
30 117 3 -1.48553993106299 3
30 118 0 1.50889022530801 2
30 118 1 0.917101904336408 3
30 118 2 0.198899342445184 3
30 118 3 -0.356739106070162 3
30 119 0 0.00152130130759942 1
30 119 1 0.343397552103114 2
30 119 2 0.836247792223396 1
30 119 3 -1.45654566240493 2
30 120 0 0.258870396908535 1
30 120 1 -0.758585669869095 2
30 120 2 -1.26799056616993 1
30 120 3 -0.324094960732978 3
31 121 0 -0.346553260568832 1
31 121 1 0.569696725979796 1
31 121 2 -2.66402752953393 1
31 121 3 0.586312821203211 1
31 122 0 2.02301548628693 1
31 122 1 1.00907255135778 1
31 122 2 -0.407012894598252 1
31 122 3 -1.09047494497546 3
31 123 0 0.397591778833176 3
31 123 1 0.769044138208678 2
31 123 2 -0.271000147037824 3
31 123 3 -1.18322325136823 2
31 124 0 0.73418008435148 1
31 124 1 0.824730197763468 1
31 124 2 0.656272817346528 1
31 124 3 0.0303359711153927 1
32 125 0 0.0777823099728195 1
32 125 1 0.931356480726509 3
32 125 2 -0.12328205424359 3
32 125 3 1.57153609824165 3
32 126 0 -0.295389780764795 2
32 126 1 1.02486321234919 2
32 126 2 -1.07602658058023 3
32 126 3 0.498972827465838 3
32 127 0 -1.22874723565574 2
32 127 1 -0.810101180344026 3
32 127 2 2.02232721456739 3
32 127 3 -0.107487507917031 3
32 128 0 1.00716726377653 3
32 128 1 -0.231462282850952 3
32 128 2 -0.519248771175179 3
32 128 3 -0.433888481100118 3
33 129 0 -1.51070832102329 2
33 129 1 -0.860466309670686 3
33 129 2 -0.542619814586144 3
33 129 3 -0.733261569365809 3
33 130 0 -0.961892457161245 1
33 130 1 -0.360401559840525 1
33 130 2 -0.770798979946767 2
33 130 3 1.22669404621518 3
33 131 0 0.833094925240114 3
33 131 1 1.71058693415145 3
33 131 2 0.196156812794222 3
33 131 3 -0.243452594997656 3
33 132 0 0.987060438712862 3
33 132 1 0.453054138048215 2
33 132 2 -2.34329047877233 3
33 132 3 -1.31293599847314 2
34 133 0 -2.40810966855965 2
34 133 1 0.759627588093351 3
34 133 2 -0.15349923967586 3
34 133 3 -0.0336356375446115 3
34 134 0 -0.960373481685185 2
34 134 1 0.209992062613276 3
34 134 2 -0.480876826085015 3
34 134 3 1.07559776259758 3
34 135 0 -0.277978231610599 2
34 135 1 1.28337611200412 3
34 135 2 -0.798445970083468 3
34 135 3 -1.26083402701485 3
34 136 0 -2.0558701753254 3
34 136 1 -0.560259582211853 3
34 136 2 0.71071918664826 3
34 136 3 -0.698284281439802 3
35 137 0 -0.876528493977328 3
35 137 1 -0.191115423193967 3
35 137 2 -0.602814880383188 3
35 137 3 1.13216175995555 3
35 138 0 0.353773668508727 2
35 138 1 -0.0492219981839228 1
35 138 2 -0.943212525152209 1
35 138 3 0.0398466886068484 1
35 139 0 0.516495302947497 2
35 139 1 -0.174087121991774 3
35 139 2 -1.26868893495523 3
35 139 3 0.878547384495992 3
35 140 0 -0.257251798698912 1
35 140 1 0.0850885919397606 3
35 140 2 -0.839838118249482 3
35 140 3 -1.04804675384346 3
36 141 0 -1.4677072790265 3
36 141 1 -1.54502012192512 3
36 141 2 -1.36435113167239 2
36 141 3 -2.5328931550889 3
36 142 0 0.0798096811501578 3
36 142 1 1.31685838122046 3
36 142 2 -0.571610926493307 3
36 142 3 -1.38411476523971 3
36 143 0 1.95048501931216 3
36 143 1 1.67770327483568 3
36 143 2 -2.01652938925991 3
36 143 3 0.683285225327737 3
36 144 0 1.07558314974781 3
36 144 1 0.916556252446147 3
36 144 2 -0.231509664753813 3
36 144 3 -0.00583318765845352 3
37 145 0 -1.44419443859275 1
37 145 1 0.730358684326448 3
37 145 2 0.648884721050089 3
37 145 3 -0.211479868077943 3
37 146 0 1.39696512753148 3
37 146 1 -0.899837674236084 3
37 146 2 0.126461578596653 3
37 146 3 -1.79384401000867 3
37 147 0 -0.511891764288126 3
37 147 1 0.34720087893483 1
37 147 2 2.00281263185931 3
37 147 3 0.0434885014393346 3
37 148 0 -0.560375422213737 2
37 148 1 -0.740991903634658 1
37 148 2 1.88319138501499 2
37 148 3 -1.14747970558681 1
38 149 0 -1.4669473987856 2
38 149 1 -0.788705368412484 2
38 149 2 0.69400308856235 3
38 149 3 -1.1214829832758 1
38 150 0 0.778212889212562 2
38 150 1 2.15858488609115 3
38 150 2 -0.549937055336378 2
38 150 3 1.76066237358342 3
38 151 0 0.231557972283033 3
38 151 1 2.40414970333025 3
38 151 2 0.178185537772112 2
38 151 3 -1.75200795110886 1
38 152 0 0.963596973141893 3
38 152 1 1.11773692083364 3
38 152 2 0.121510049785294 3
38 152 3 -0.0721565137227396 3
39 153 0 -0.416664251407395 3
39 153 1 0.338483606360393 3
39 153 2 -0.979636438127384 3
39 153 3 -0.530035185678483 3
39 154 0 2.30707494424688 3
39 154 1 0.0201300245949528 3
39 154 2 0.721099843473244 3
39 154 3 -0.405899907547437 3
39 155 0 0.64354445703798 2
39 155 1 0.335863905408251 1
39 155 2 -0.914331417999388 2
39 155 3 1.15426294498504 3
39 156 0 0.945296622348442 3
39 156 1 1.24282479171996 3
39 156 2 -1.08146502318441 3
39 156 3 0.145146878783841 3
40 157 0 -1.08134566589193 2
40 157 1 -0.296694756767246 1
40 157 2 -0.357810751320163 2
40 157 3 -0.675340633908828 3
40 158 0 -0.223441916786344 1
40 158 1 0.299896236140503 1
40 158 2 -0.656629484923976 2
40 158 3 -1.28972574538442 2
40 159 0 -0.227813387500125 3
40 159 1 -1.14104564120112 3
40 159 2 1.87304697682436 2
40 159 3 2.08328369147744 3
40 160 0 0.134981431830103 3
40 160 1 1.25135409210303 3
40 160 2 0.0736459831939315 3
40 160 3 1.32603321916681 3
41 161 0 -0.402030370665843 3
41 161 1 3.12174350815492 3
41 161 2 -0.108509515987899 3
41 161 3 -0.455846097729557 3
41 162 0 -0.29454714947103 2
41 162 1 -0.886709311551677 3
41 162 2 0.42938263321444 3
41 162 3 0.115700193356139 2
41 163 0 1.08431902717016 3
41 163 1 -0.00360677659747571 3
41 163 2 -0.698258210417471 3
41 163 3 0.273095155065375 3
41 164 0 0.147980975704701 3
41 164 1 -1.59135877073164 1
41 164 2 -1.86871873814444 3
41 164 3 0.19702326440254 3
42 165 0 -0.796815917720974 1
42 165 1 -0.488210945832673 2
42 165 2 0.838155409888135 2
42 165 3 -2.49969249954698 2
42 166 0 -0.801954572296818 3
42 166 1 1.36492573602905 3
42 166 2 0.483852608544127 3
42 166 3 0.232155440792799 3
42 167 0 -0.879445251784828 2
42 167 1 -0.608568881056942 1
42 167 2 0.654318673864818 1
42 167 3 0.260531324005342 2
42 168 0 1.24243350610872 1
42 168 1 -0.936961226923977 2
42 168 2 -0.263629397560834 3
42 168 3 0.793738361891344 3
43 169 0 -1.2184813408331 2
43 169 1 0.452609968005205 3
43 169 2 0.509829566986165 3
43 169 3 0.611121142249947 3
43 170 0 1.22182450580073 3
43 170 1 -0.100220512072931 3
43 170 2 -0.741391497775865 3
43 170 3 0.651262124578668 2
43 171 0 -3.45256483648151 3
43 171 1 -0.513411249249387 3
43 171 2 0.155673710431329 3
43 171 3 -1.54074162853432 3
43 172 0 0.199027667800304 3
43 172 1 -0.852142631500614 3
43 172 2 -1.25630165303108 3
43 172 3 -0.485584089010699 3
44 173 0 -1.15469004770803 2
44 173 1 1.2338390035405 3
44 173 2 -0.76608256186326 3
44 173 3 -0.229922950170437 3
44 174 0 0.732337470278288 3
44 174 1 0.575280458984422 3
44 174 2 0.17064936936446 3
44 174 3 -0.202481702174276 3
44 175 0 -0.62278308109717 2
44 175 1 0.141950834539289 2
44 175 2 -0.462086116606741 3
44 175 3 0.62764534612542 3
44 176 0 -1.04600611045371 2
44 176 1 -0.798867131923564 3
44 176 2 -0.621787582927698 2
44 176 3 1.38555372701507 3
45 177 0 -0.724762486498492 3
45 177 1 -0.0865569573724477 3
45 177 2 -2.02636824039787 3
45 177 3 -0.0614068495176375 3
45 178 0 0.521274465011077 3
45 178 1 -1.62160961504585 3
45 178 2 0.439165669535621 3
45 178 3 -0.0911848662731013 3
45 179 0 -0.587255511247803 3
45 179 1 -0.354181000025847 3
45 179 2 1.04186541025614 3
45 179 3 -0.0559515831520483 3
45 180 0 -0.80210539502052 3
45 180 1 -0.12582915440216 3
45 180 2 -1.76809673984707 3
45 180 3 -1.71912391987655 3
46 181 0 0.416535563919475 1
46 181 1 -1.16417821632844 1
46 181 2 0.84615994104458 1
46 181 3 0.814627648571447 1
46 182 0 0.581054937109321 1
46 182 1 -0.626033452922413 2
46 182 2 -0.483892341749785 1
46 182 3 0.794128452930155 2
46 183 0 0.353583317152204 3
46 183 1 -0.368157473127856 1
46 183 2 0.295170621943513 2
46 183 3 -0.589027980753921 1
46 184 0 -0.289690699365097 1
46 184 1 0.320807309703804 1
46 184 2 0.302568551121346 1
46 184 3 1.23163645345709 3
47 185 0 -0.976559148800291 1
47 185 1 0.212826182610954 3
47 185 2 -0.278915931364238 3
47 185 3 -0.0620155792150887 3
47 186 0 1.03551851113213 1
47 186 1 -0.7623667094071 1
47 186 2 -0.715996380753192 2
47 186 3 -0.637187862451243 3
47 187 0 0.182331724670791 2
47 187 1 -0.667860374572537 2
47 187 2 0.806566286577141 3
47 187 3 -0.778170321429686 2
47 188 0 -0.000490527792545814 1
47 188 1 0.43535962330376 1
47 188 2 0.885059539792427 3
47 188 3 0.547454768468428 3
48 189 0 -1.67030457504079 2
48 189 1 0.256139193536648 3
48 189 2 -0.0351036473708444 3
48 189 3 -0.583312567151988 3
48 190 0 1.12386394194203 3
48 190 1 -0.153346559966197 3
48 190 2 -0.00311653484984598 3
48 190 3 -0.612912511130103 3
48 191 0 -0.0443622095426207 3
48 191 1 -0.787824631350022 3
48 191 2 0.294083003978048 3
48 191 3 -0.97818591918331 3
48 192 0 1.76478508407828 3
48 192 1 -1.68304518805856 3
48 192 2 1.65207092819248 3
48 192 3 -0.919683429622452 3
49 193 0 1.16845160704833 2
49 193 1 0.131328867807983 2
49 193 2 -0.131190122396759 3
49 193 3 0.31920750078543 3
49 194 0 0.0315744159281902 2
49 194 1 -0.423062212700449 2
49 194 2 1.03502858741008 3
49 194 3 -0.486891667557192 3
49 195 0 0.219902233805736 3
49 195 1 1.49855454855242 1
49 195 2 1.07016583039341 3
49 195 3 0.490883870388317 3
49 196 0 -0.55209728024329 3
49 196 1 1.46508043128786 3
49 196 2 -0.666122874532192 3
49 196 3 0.869241791720164 3
50 197 0 0.805773303349579 1
50 197 1 -0.799486130395066 1
50 197 2 -0.215501981153236 1
50 197 3 0.905317438817409 2
50 198 0 -1.14121817586538 3
50 198 1 0.732040756609901 3
50 198 2 -0.997723003794551 3
50 198 3 0.83818066129506 3
50 199 0 0.0597989073122331 3
50 199 1 -0.954286204469128 3
50 199 2 -1.14610409929228 3
50 199 3 0.689820371243111 3
50 200 0 2.14941838302999 3
50 200 1 -2.1288442598504 1
50 200 2 0.0994223200029765 3
50 200 3 -0.816157446395634 3
51 201 0 -1.14507286391569 1
51 201 1 1.70036064918282 3
51 201 2 -1.21061528077913 3
51 201 3 0.603561514274784 3
51 202 0 -1.13961277494252 1
51 202 1 -0.332235799259389 1
51 202 2 0.99392574153763 3
51 202 3 2.1939341206784 3
51 203 0 -0.531756271814758 1
51 203 1 -1.04046817986494 1
51 203 2 1.44805390758142 1
51 203 3 0.845207640073584 2
51 204 0 0.430792292025065 3
51 204 1 -0.831349002008042 3
51 204 2 2.36502805979443 3
51 204 3 0.535543847839075 3
52 205 0 -0.882564658916292 2
52 205 1 1.35039810521432 2
52 205 2 1.08562400972598 3
52 205 3 0.244522124666005 2
52 206 0 0.334476975194865 2
52 206 1 0.488692901643483 3
52 206 2 -0.187075046322232 3
52 206 3 -0.417485288935243 2
52 207 0 -0.624423740761543 3
52 207 1 0.017573928796463 3
52 207 2 -0.910123932817849 3
52 207 3 0.0109163830767811 3
52 208 0 0.0288832911064931 3
52 208 1 0.959908520217136 3
52 208 2 0.36481960024875 3
52 208 3 -0.0610601222642388 3
53 209 0 0.874154450325896 1
53 209 1 -1.03545500588359 1
53 209 2 0.82803076333052 2
53 209 3 0.476855261540639 2
53 210 0 0.00988792636279051 1
53 210 1 1.31792302763886 1
53 210 2 -0.0751308895936177 3
53 210 3 -0.265491040521145 2
